referencia;recorrencia;situacao;codigo_vendedor;tipo_faturamento;indice_reajuste;codigo_banco_conta;codigo_forma_pagamento;servicos.referencia;observacao_fiscal;dia_vencimento;data_primeiro_vencimento;data_vigencia_inicial;data_vigencia_final;servicos.valor_unitario;;;;;;;;;;
235;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/06/2025;99,90;;;;;;;;;;
236;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/06/2025;99,90;;;;;;;;;;
237;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;01/06/2025;119,90;;;;;;;;;;
238;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/06/2025;99,90;;;;;;;;;;
239;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;01/06/2025;119,90;;;;;;;;;;
240;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/07/2025;79,90;;;;;;;;;;
241;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/07/2025;99,90;;;;;;;;;;
242;1;1;1;0;0;2;5;29;;1;10/10/2024;01/02/2024;01/08/2025;79,90;;;;;;;;;;
243;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/07/2025;79,90;;;;;;;;;;
244;1;1;1;0;0;2;5;5;;1;10/10/2024;01/01/2024;10/07/2025;64,90;;;;;;;;;;
245;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/07/2025;79,90;;;;;;;;;;
246;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/07/2025;79,90;;;;;;;;;;
247;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;01/07/2025;119,90;;;;;;;;;;
248;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;10/07/2025;99,90;;;;;;;;;;
249;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;10/08/2025;99,90;;;;;;;;;;
250;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/08/2025;69,90;;;;;;;;;;
251;1;1;1;0;0;2;5;3;Plano de 4 câmeras no escritório + plano de 8 câmeras na fábrica um plano de alarme com 8 sensores no escritório + plano de alarme com 20 sensores na fábrica;1;10/10/2024;01/01/2024;10/08/2025;419,90;;;;;;;;;;
252;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/08/2025;99,90;;;;;;;;;;
253;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/08/2025;99,90;;;;;;;;;;
254;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;01/08/2025;119,90;;;;;;;;;;
255;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;10/08/2025;119,90;;;;;;;;;;
256;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;10/08/2025;79,90;;;;;;;;;;
257;1;1;1;0;0;2;5;3;;1;10/10/2024;01/01/2024;01/08/2025;69,90;;;;;;;;;;
258;1;1;1;0;0;2;5;4;Mensalidade de locação do sistema Vigi – Plano 16 canais + alarme;1;10/10/2024;01/01/2024;10/09/2025;309,80;;;;;;;;;;
259;1;1;1;0;0;2;5;3;10;1;10/10/2024;01/01/2024;10/09/2025;169,90;;;;;;;;;;
260;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/09/2025;69,90;;;;;;;;;;
261;1;1;1;0;0;2;5;6;;1;10/10/2024;01/01/2024;01/09/2025;119,80;;;;;;;;;;
262;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;10/09/2025;79,90;;;;;;;;;;
263;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/09/2025;69,90;;;;;;;;;;
264;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;10/09/2025;79,90;;;;;;;;;;
265;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;10/10/2025;79,90;;;;;;;;;;
266;1;1;1;0;0;2;5;3;5 câmeras novas + 3 antigas no escritório e manutenção das 32 câmeras da fábrica.;1;10/10/2024;01/01/2024;10/10/2025;281,00;;;;;;;;;;
267;1;1;1;0;0;2;5;3;13 canais;1;10/10/2024;01/01/2024;01/10/2025;119,90;;;;;;;;;;
268;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;10/10/2025;99,90;;;;;;;;;;
269;1;1;1;0;0;2;5;3;PLANO 01: 8 CANAIS PLANO 2: 4 CANAIS;1;10/10/2024;01/01/2024;01/10/2025;189,80;;;;;;;;;;
270;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;10/11/2025;99,90;;;;;;;;;;
271;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;10/11/2025;99,90;;;;;;;;;;
272;1;1;1;0;0;2;5;3;PLANO DE 12 CANAIS;1;10/10/2024;01/01/2024;01/11/2025;199,90;;;;;;;;;;
273;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/11/2025;149,90;;;;;;;;;;
274;1;1;1;0;0;2;5;3;Plano 32;1;10/10/2024;01/01/2024;10/11/2025;750,00;;;;;;;;;;
275;1;1;1;0;0;2;5;4;;1;10/10/2024;01/01/2024;10/11/2025;259,90;;;;;;;;;;
276;1;1;1;0;0;2;5;9;ALARME;1;10/10/2024;01/01/2024;01/11/2025;139,80;;;;;;;;;;
277;1;1;1;0;0;2;5;3;alarme + 10 CANAIS;1;10/10/2024;01/01/2024;01/11/2025;217,50;;;;;;;;;;
278;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;10/12/2025;119,90;;;;;;;;;;
279;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/12/2025;69,90;;;;;;;;;;
280;1;1;1;0;0;2;5;3;Plano de 16 canais R$18,00 por câmeras Total R$ 288,00 Plano de 16 canais com o DVR e câmeras que ele já tinha R$8,00 por camera  Total R$ 128,00;1;10/10/2024;01/01/2024;01/01/2026;416,00;;;;;;;;;;
281;1;1;1;0;0;2;5;5;;1;10/10/2024;01/02/2024;19/12/2026;64,90;;;;;;;;;;
282;1;1;1;0;0;2;5;29;BARBEARIA ESTILLO LEÃO COSMÉTICOS E VESTUÁRIO;1;10/10/2024;01/02/2024;19/12/2026;79,90;;;;;;;;;;
283;1;1;1;0;0;2;5;29;;1;10/10/2024;01/02/2024;19/12/2026;79,90;;;;;;;;;;
284;1;1;1;0;0;2;5;29;;1;10/10/2024;01/02/2024;19/12/2026;79,90;;;;;;;;;;
285;1;1;1;0;0;2;5;29;+ alarme;1;10/10/2024;01/02/2024;19/12/2026;149,80;;;;;;;;;;
286;1;1;1;0;0;2;5;29;;1;10/10/2024;01/10/2024;;69,90;;;;;;;;;;
