referencia;numero;cnpj_cpf_cliente;descricao;servicos.referencia;servicos.quantidade;servicos.complemento;data_vigencia_inicial;data_vigencia_final;observacao_nao_fiscal;servicos.valor_unitario;dia_vencimento;data_primeiro_vencimento;data_proximo_reajuste;codigo_vendedor;situacao;recorrencia;tipo_faturamento;indice_reajuste;codigo_banco_conta;codigo_forma_pagamento;codigo_plano_contas;codigo_condicao_pagamento;observacao_fiscal
2208;2208;02.103.100/0001-79;ASP Varejo - Hiper 2024 (ASP Softwares Brusque) - Mensal;7;1;;05/03/2025;;Fidelidade 30/01/2026;279,9;4;05/03/2025;05/03/2026;1;1;1;1;0;14;5;89;;
2229;2229;58.980.286/0001-07;ASP Varejo - Hiper 2024 (ASP Softwares Brusque) - Mensal;7;1;;05/03/2025;;Fidelidade 30/01/2026;259,9;4;05/03/2025;05/03/2026;1;1;1;1;0;14;5;89;;
2214;2214;07.345.326/0001-08;ASP Varejo - Hiper 2024 (ASP Softwares Brusque) - Mensal;7;1;;15/03/2025;;Fidelidade 14/03/2026;269,9;20;20/03/2025;15/03/2026;1;1;1;1;0;14;5;89;;
2210;2210;28.037.691/0001-17;ASP Varejo - Hiper 2024 (ASP Softwares Brusque) - Mensal;7;1;;22/03/2025;;Fidelidade 21/03/2026;234;22;22/03/2025;22/03/2026;1;1;1;1;0;14;5;89;;
