referencia_busca_cliente;referencia;numero;recorrencia;;id_importacao_pessoa;Plano;servicos.referencia;servicos.quantidade;data_vigencia_inicial;data_vigencia_final;servicos.valor_unitario;dia_vencimento;data_primeiro_vencimento;Último Reajuste;data_proximo_reajuste;indice_reajuste;codigo_vendedor;codigo_forma_pagamento;codigo_banco_conta;tipo_faturamento
1;368;368;1;;107;Tronco Sip (JT Tecnologia) - Mensal;9;1;16/06/2020;23/03/2024;501,29;2;2/05/2025;;;1;1;5;3;0
1;370;370;1;;93;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;27/07/2020;28/11/2024;910,72;15;15/05/2025;02/07/2024;;1;1;5;3;0
1;375;375;1;;139;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;22/01/2024;;471,42;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;379;379;1;;141;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;23/01/2024;;209,51;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;381;381;1;;44;Tronco Sip (JT Tecnologia) - Mensal;9;1;06/04/2022;;1155,56;24;24/05/2025;03/04/2025;03/04/2026;1;1;5;3;0
1;383;383;1;;44;Tronco Sip (JT Tecnologia) - Mensal;9;1;04/11/2022;;932,53;24;24/05/2025;24/10/2024;24/10/2025;1;1;5;3;0
1;387;387;1;;144;Discador Preditivo (JT Tecnologia) - Mensal;6;1;01/02/2024;01/07/2024;640,00;2;2/05/2025;;;1;1;5;3;0
1;391;391;1;;146;Discador Preditivo (JT Tecnologia) - Mensal;6;1;06/02/2024;23/06/2024;360,00;2;2/05/2025;;;1;1;5;3;0
1;395;395;1;;147;Chatbot (JT Tecnologia) - Mensal;4;1;07/02/2024;04/10/2024;199,99;2;2/05/2025;;;1;1;5;3;0
1;397;397;1;;139;Discador Preditivo (JT Tecnologia) - Mensal;6;1;09/02/2024;05/03/2024;360,00;2;2/05/2025;;;1;1;5;3;0
1;400;400;1;;149;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;28/02/2024;;471,42;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;403;403;1;;150;Chatbot (JT Tecnologia) - Mensal;4;1;28/02/2024;12/07/2024;200,00;2;2/05/2025;;;1;1;5;3;0
1;406;406;1;;151;Discador Preditivo (JT Tecnologia) - Mensal;6;1;01/03/2024;03/11/2024;3600,00;15;15/05/2025;;;1;1;5;3;0
1;409;409;1;;152;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;04/03/2024;;419,04;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;412;412;1;;153;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;05/03/2024;;1045,51;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;414;414;1;;153;Chatbot (JT Tecnologia) - Mensal;4;1;05/03/2024;;398,09;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;417;417;1;;154;Tronco Sip (JT Tecnologia) - Mensal;9;1;08/03/2024;15/09/2024;3250,00;15;15/05/2025;;;1;1;5;3;0
1;420;420;1;;155;Discador Preditivo (JT Tecnologia) - Mensal;6;1;14/03/2024;14/04/2024;360,00;15;15/05/2025;;;1;1;5;3;0
1;423;423;1;;156;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;15/03/2024;;419,04;2;2/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;427;427;1;;158;Discador Preditivo (JT Tecnologia) - Mensal;6;1;08/04/2024;10/11/2024;1540,00;2;2/05/2025;;;1;1;5;3;0
1;431;431;1;;159;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;25/04/2024;;840,48;15;15/05/2025;03/04/2025;03/04/2026;1;1;5;3;0
1;434;434;1;;160;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;26/04/2024;09/02/2025;454,00;2;2/05/2025;;;1;1;5;3;0
1;437;437;1;;161;Discador Preditivo (JT Tecnologia) - Mensal;6;1;02/05/2024;21/03/2025;360,00;2;2/05/2025;;;1;1;5;3;0
1;441;441;1;;151;Tronco Sip (JT Tecnologia) - Mensal;9;1;01/03/2024;03/11/2024;11880,00;15;15/05/2025;;;1;1;5;3;0
1;444;444;1;;162;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;15/05/2024;26/11/2024;450,00;2;2/05/2025;;;1;1;5;3;0
1;446;446;1;;151;Tronco Sip (JT Tecnologia) - Mensal;9;1;23/05/2024;24/11/2024;9900,00;15;15/05/2025;;;1;1;5;3;0
1;451;451;1;;163;Discador Preditivo (JT Tecnologia) - Mensal;6;1;28/05/2024;01/02/2025;300,00;2;2/05/2025;;;1;1;5;3;0
1;494;494;1;;164;Assistentes de IA (JT Tecnologia) - Mensal;3;1;31/05/2024;01/12/2024;1000,00;15;15/05/2025;;;1;1;5;3;0
1;496;496;1;;53;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;11/01/2022;07/08/2024;285,72;24;24/05/2025;;;1;1;5;3;0
1;538;538;1;;165;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;11/06/2024;28/06/2024;300,00;2;2/05/2025;;;1;1;5;3;0
1;540;540;1;;165;0800/400x Virtual (JT Tecnologia) - Mensal;2;1;11/06/2024;28/06/2024;499,00;2;2/05/2025;;;1;1;5;3;0
1;543;543;1;;166;Discador Preditivo (JT Tecnologia) - Mensal;6;1;17/06/2024;18/07/2024;360,00;15;15/05/2025;;;1;1;5;3;0
1;546;546;1;;167;Chatbot (JT Tecnologia) - Mensal;4;1;19/06/2024;;225,00;2;2/05/2025;;;1;1;5;3;0
1;549;549;1;;168;Assistentes de IA (JT Tecnologia) - Mensal;3;1;19/06/2024;20/08/2024;2000,00;2;2/05/2025;;;1;1;5;3;0
1;557;557;1;;153;0800/400x Virtual (JT Tecnologia) - Mensal;2;1;04/07/2024;;199,00;2;2/05/2025;;;1;1;5;3;0
1;559;559;1;;73;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;04/07/2024;05/07/2027;814,00;2;2/05/2025;;;1;1;5;3;0
1;583;583;1;;203;Discador Preditivo (JT Tecnologia) - Mensal;6;1;25/07/2024;12/12/2024;800,00;15;15/05/2025;;;1;1;5;3;0
1;588;588;1;;204;Discador Preditivo (JT Tecnologia) - Mensal;6;1;30/07/2024;02/12/2024;1000,00;2;2/05/2025;;;1;1;5;3;0
1;591;591;1;;205;Assistentes de IA (JT Tecnologia) - Mensal;3;1;08/08/2024;;1000,00;5;5/05/2025;;;1;1;5;3;0
1;594;594;1;;206;Assistentes de IA (JT Tecnologia) - Mensal;3;1;16/08/2024;21/11/2024;2000,00;15;15/05/2025;;;1;1;5;3;0
1;597;597;1;;207;Assistentes de IA (JT Tecnologia) - Mensal;3;1;16/08/2024;17/09/2024;2000,00;2;2/05/2025;;;1;1;5;3;0
1;600;600;1;;208;Assistentes de IA (JT Tecnologia) - Mensal;3;1;27/08/2024;28/01/2025;1000,00;15;15/05/2025;;;1;1;5;3;0
1;608;608;1;;212;Discador Preditivo (JT Tecnologia) - Mensal;6;1;17/09/2024;04/10/2024;1200,00;13;13/05/2025;;;1;1;5;3;0
1;615;615;1;;167;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;23/09/2024;30/09/2030;250,00;2;2/05/2025;;;1;1;5;3;0
1;617;617;1;;121;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;30/09/2024;30/09/2027;1303,22;15;15/05/2025;;;1;1;5;3;0
1;620;620;1;;214;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;30/09/2024;;250,00;2;2/05/2025;;;1;1;5;3;0
1;622;622;1;;66;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;30/09/2024;29/11/2029;2417,00;24;24/05/2025;;;1;1;5;3;0
1;625;625;1;;216;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;16/10/2024;16/09/2027;2855,00;15;15/05/2025;;;1;1;5;3;0
1;628;628;1;;217;Discador Preditivo (JT Tecnologia) - Mensal;6;1;02/12/2024;06/01/2025;490,00;2;2/05/2025;;;1;1;5;3;0
1;633;633;1;;218;Tronco Sip (JT Tecnologia) - Mensal;9;1;24/10/2024;;4299,00;24;24/05/2025;;;1;1;5;3;0
1;637;637;1;;98;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;12/10/2024;10/10/2027;965,56;15;15/05/2025;;;1;1;5;3;0
1;640;640;1;;219;Discador Preditivo (JT Tecnologia) - Mensal;6;1;17/10/2024;;250,00;5;5/05/2025;;;1;1;5;3;0
1;643;643;1;;220;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;22/10/2024;;230,00;2;2/05/2025;;;1;1;5;3;0
1;647;647;1;;221;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;22/10/2024;;230,00;2;2/05/2025;;;1;1;5;3;0
1;649;649;1;;60;Tronco Sip (JT Tecnologia) - Mensal;9;1;24/10/2024;;249,91;24;24/05/2025;;;1;1;5;3;0
1;654;654;1;;87;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;30/10/2024;;442,74;5;5/05/2025;;;1;1;5;3;0
1;657;657;1;;223;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;31/10/2024;;330,00;2;2/05/2025;;;1;1;5;3;0
1;659;659;1;;222;Discador Preditivo (JT Tecnologia) - Mensal;6;1;12/11/2024;20/02/2025;960,00;15;15/05/2025;;;1;1;5;3;0
1;662;662;1;;225;Ura Reversa (JT Tecnologia) - Mensal;10;1;27/11/2024;28/02/2025;700,00;2;2/05/2025;;;1;1;5;3;0
1;664;664;1;;82;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;08/12/2024;;400,00;5;5/05/2025;;;1;1;5;3;0
1;667;667;1;;226;Discador Preditivo (JT Tecnologia) - Mensal;6;1;27/11/2024;05/04/2025;460,00;2;2/05/2025;;;1;1;5;3;0
1;669;669;1;;153;0800/400x Virtual (JT Tecnologia) - Mensal;2;1;28/11/2024;;199,00;2;2/05/2025;;;1;1;5;3;0
